subsector,geography,other_index_1,demand_technology,replaced_demand_tech,input_type,interpolation_method,extrapolation_method,extrapolation_growth,name
commercial refrigeration,us,,High Efficiency Commercial Compressor Rack Systems,Reference Commercial Compressor Rack Systems,intensity,logistic,nearest,,Reference Commercial Compressor Rack Systems to High Efficiency Commercial Compressor Rack Systems : 1 by 2035
commercial refrigeration,us,,High Efficiency Commercial Condensers,Reference Commercial Condensers,intensity,logistic,nearest,,Reference Commercial Condensers to High Efficiency Commercial Condensers : 1 by 2035
commercial refrigeration,us,,High Efficiency Commercial Walk-in Refrigerators,Reference Commercial Walk-in Refrigerators,intensity,logistic,nearest,,Reference Commercial Walk-in Refrigerators to High Efficiency Commercial Walk-in Refrigerators : 1 by 2035
commercial refrigeration,us,,High Efficiency Commercial Walk-in Freezers,Reference Commercial Walk-in Freezers,intensity,logistic,nearest,,Reference Commercial Walk-in Freezers to High Efficiency Commercial Walk-in Freezers : 1 by 2035
commercial refrigeration,us,,High Efficiency Commercial Reach-in Refrigerators,Reference Commercial Reach-in Refrigerators,intensity,logistic,nearest,,Reference Commercial Reach-in Refrigerators to High Efficiency Commercial Reach-in Refrigerators : 1 by 2035
commercial refrigeration,us,,High Efficiency Commercial Reach-in Freezers,Reference Commercial Reach-in Freezers,intensity,logistic,nearest,,Reference Commercial Reach-in Freezers to High Efficiency Commercial Reach-in Freezers : 1 by 2035
commercial refrigeration,us,,Reference Commercial Ice-Machines,Reference Commercial Ice-Machines,intensity,logistic,nearest,,Reference Commercial Ice-Machines to Reference Commercial Ice-Machines : 1 by 2035
commercial refrigeration,us,,High Efficiency Commercial Beverage Merchandisers,Reference Commercial Beverage Merchandisers,intensity,logistic,nearest,,Reference Commercial Beverage Merchandisers to High Efficiency Commercial Beverage Merchandisers : 1 by 2035
commercial refrigeration,us,,High Efficiency Commercial Refrigerated Vending Machines,Reference Commercial Refrigerated Vending Machines,intensity,logistic,nearest,,Reference Commercial Refrigerated Vending Machines to High Efficiency Commercial Refrigerated Vending Machines : 1 by 2035
commercial ventilation,us,,High Efficiency Constant Air Commercial Ventilation System,Reference Constant Air Commercial Ventilation System,intensity,logistic,nearest,,Reference Constant Air Commercial Ventilation System to High Efficiency Constant Air Commercial Ventilation System : 1 by 2035
commercial ventilation,us,,High Efficiency Variable Air Commercial Ventilation System,Reference Variable Air Commercial Ventilation System,intensity,logistic,nearest,,Reference Variable Air Commercial Ventilation System to High Efficiency Variable Air Commercial Ventilation System : 1 by 2035
residential lighting,us,,LED GSL,Incandescent GSL,intensity,logistic,nearest,,Incandescent GSL to LED GSL : 1 by 2030
residential lighting,us,,LED GSL,CFL GSL,intensity,logistic,nearest,,CFL GSL to LED GSL : 1 by 2030
residential lighting,us,,LED Reflector,Incandescent Reflector,intensity,logistic,nearest,,Incandescent Reflector to LED Reflector : 1 by 2030
residential lighting,us,,LED Reflector,CFL Reflector,intensity,logistic,nearest,,CFL Reflector to LED Reflector : 1 by 2030
residential lighting,us,,LED Reflector,Halogen Reflector,intensity,logistic,nearest,,Halogen Reflector to LED Reflector : 1 by 2030
residential lighting,us,,LED Linear Fluorescent,T-12 Linear Fluorescent,intensity,logistic,nearest,,T-12 Linear Fluorescent to LED Linear Fluorescent : 1 by 2030
residential lighting,us,,LED Linear Fluorescent,T-8 Linear Fluorescent,intensity,logistic,nearest,,T-8 Linear Fluorescent to LED Linear Fluorescent : 1 by 2030
residential lighting,us,,LED Exterior,HID Exterior,intensity,logistic,nearest,,HID Exterior to LED Exterior : 1 by 2030
residential lighting,us,,LED Exterior,CFL Exterior,intensity,logistic,nearest,,CFL Exterior to LED Exterior : 1 by 2030
residential lighting,us,,LED Exterior,Incandescent Exterior,intensity,logistic,nearest,,Incandescent Exterior to LED Exterior : 1 by 2030
residential clothes washing,us,,High Efficiency Clothes Washer - Front Loading,Reference Clothes Washer - Front Loading,intensity,logistic,nearest,,Reference Clothes Washer - Front Loading to High Efficiency Clothes Washer - Front Loading : 1 by 2030
residential clothes washing,us,,High Efficiency Clothes Washer - Top Loading,Reference Clothes Washer - Top Loading,intensity,logistic,nearest,,Reference Clothes Washer - Top Loading to High Efficiency Clothes Washer - Top Loading : 1 by 2030
residential clothes drying,us,,High Efficiency Electric Clothes Dryer,Reference Electric Clothes Dryer,intensity,logistic,nearest,,Reference Electric Clothes Dryer to High Efficiency Electric Clothes Dryer : 1 by 2035
residential clothes drying,us,,High Efficiency Electric Clothes Dryer,Reference Gas Clothes Dryer,intensity,logistic,nearest,,Reference Gas Clothes Dryer to High Efficiency Electric Clothes Dryer : 0.9 by 2035
residential clothes drying,us,,High Efficiency Gas Clothes Dryer,Reference Gas Clothes Dryer,intensity,logistic,nearest,,Reference Gas Clothes Dryer to High Efficiency Gas Clothes Dryer : 0.1 by 2035
residential dishwashing,us,,High Efficiency Dishwasher,Reference Dishwasher,intensity,logistic,nearest,,Reference Dishwasher to High Efficiency Dishwasher : 1 by 2035
residential refrigeration,us,,High Efficiency Top Mount Refrigerator,Reference Top Mount Refrigerator,intensity,logistic,nearest,,Reference Top Mount Refrigerator to High Efficiency Top Mount Refrigerator : 1 by 2035
residential refrigeration,us,,High Efficiency Bottom Mount Refrigerator,Reference Bottom Mount Refrigerator,intensity,logistic,nearest,,Reference Bottom Mount Refrigerator to High Efficiency Bottom Mount Refrigerator : 1 by 2035
residential refrigeration,us,,High Efficiency Side Mount Refrigerator,Reference Side Mount Refrigerator,intensity,logistic,nearest,,Reference Side Mount Refrigerator to High Efficiency Side Mount Refrigerator : 1 by 2035
residential freezing,us,,High Efficiency Upright Freezer,Reference Upright Freezer,intensity,logistic,nearest,,Reference Upright Freezer to High Efficiency Upright Freezer : 1 by 2035
residential freezing,us,,High Efficiency Chest Freezer,Reference Chest Freezer,intensity,logistic,nearest,,Reference Chest Freezer to High Efficiency Chest Freezer : 1 by 2035
residential cooking,us,,High Efficiency Gas Cooktop/Stove,Reference Gas Cooktop/Stove,intensity,logistic,nearest,,Reference Gas Cooktop/Stove to High Efficiency Gas Cooktop/Stove : 0.1 by 2035
residential cooking,us,,Electric Cooktop/Stove,Reference LPG Cooktop/Stove,intensity,logistic,nearest,,Reference LPG Cooktop/Stove to Electric Cooktop/Stove : 0.9 by 2035
residential water heating,us,,High Efficiency Electric Heat Pump Water Heater,Reference Gas Water Heater,intensity,logistic,nearest,,Reference Gas Water Heater to High Efficiency Electric Heat Pump Water Heater : 0.6 by 2035
residential water heating,us,,High Efficiency Electric Resistance Water Heater,Reference Gas Water Heater,intensity,logistic,nearest,,Reference Gas Water Heater to High Efficiency Electric Resistance Water Heater : 0.3 by 2035
residential water heating,us,,High Efficiency Gas Water Heater,Reference Gas Water Heater,intensity,logistic,nearest,,Reference Gas Water Heater to High Efficiency Gas Water Heater : 0.1 by 2035
residential water heating,us,,High Efficiency Electric Heat Pump Water Heater,Reference Distillate Water Heater,intensity,logistic,nearest,,Reference Distillate Water Heater to High Efficiency Electric Heat Pump Water Heater : 0.6 by 2035
residential water heating,us,,High Efficiency Electric Resistance Water Heater,Reference Distillate Water Heater,intensity,logistic,nearest,,Reference Distillate Water Heater to High Efficiency Electric Resistance Water Heater : 0.3 by 2035
residential water heating,us,,High Efficiency Distillate Water Heater,Reference Distillate Water Heater,intensity,logistic,nearest,,Reference Distillate Water Heater to High Efficiency Distillate Water Heater : 0.1 by 2035
residential water heating,us,,High Efficiency Electric Heat Pump Water Heater,Reference LPG Water Heater,intensity,logistic,nearest,,Reference LPG Water Heater to High Efficiency Electric Heat Pump Water Heater : 0.6 by 2035
residential water heating,us,,High Efficiency Electric Resistance Water Heater,Reference LPG Water Heater,intensity,logistic,nearest,,Reference LPG Water Heater to High Efficiency Electric Resistance Water Heater : 0.3 by 2035
residential water heating,us,,High Efficiency LPG Water Heater,Reference LPG Water Heater,intensity,logistic,nearest,,Reference LPG Water Heater to High Efficiency LPG Water Heater : 0.1 by 2035
residential water heating,us,,High Efficiency Electric Heat Pump Water Heater,Reference Electric Resistance Water Heater,intensity,logistic,nearest,,Reference Electric Resistance Water Heater to High Efficiency Electric Heat Pump Water Heater : 0.5 by 2035
residential water heating,us,,High Efficiency Electric Resistance Water Heater,Reference Electric Resistance Water Heater,intensity,logistic,nearest,,Reference Electric Resistance Water Heater to High Efficiency Electric Resistance Water Heater : 0.5 by 2035
residential water heating,us,,High Efficiency Instantaneous Gas Water Heater,Reference Instantaneous Gas Water Heater,intensity,logistic,nearest,,Reference Instantaneous Gas Water Heater to High Efficiency Instantaneous Gas Water Heater : 1 by 2035
residential space heating,us,,High Efficiency Air Source Heat Pump - Heating,Reference Distillate Boiler/Radiator,intensity,logistic,nearest,,Reference Distillate Boiler/Radiator to High Efficiency Air Source Heat Pump - Heating : 0.9 by 2035
residential space heating,us,,High Efficiency Distillate Boiler/Radiator,Reference Distillate Boiler/Radiator,intensity,logistic,nearest,,Reference Distillate Boiler/Radiator to High Efficiency Distillate Boiler/Radiator : 0.1 by 2035
residential space heating,us,,High Efficiency Air Source Heat Pump - Heating,Reference Natural Gas Boiler/Radiator,intensity,logistic,nearest,,Reference Natural Gas Boiler/Radiator to High Efficiency Air Source Heat Pump - Heating : 0.9 by 2035
residential space heating,us,,High Efficiency Natural Gas Boiler/Radiator,Reference Natural Gas Boiler/Radiator,intensity,logistic,nearest,,Reference Natural Gas Boiler/Radiator to High Efficiency Natural Gas Boiler/Radiator : 0.1 by 2035
residential space heating,us,,High Efficiency Air Source Heat Pump - Heating,Reference LPG Furnace,intensity,logistic,nearest,,Reference LPG Furnace to High Efficiency Air Source Heat Pump - Heating : 0.9 by 2035
residential space heating,us,,High Efficiency LPG Furnace,Reference LPG Furnace,intensity,logistic,nearest,,Reference LPG Furnace to High Efficiency LPG Furnace : 0.1 by 2035
residential air conditioning,us,,High Efficiency Central Air Conditioner,Reference Central Air Conditioner,intensity,logistic,nearest,,Reference Central Air Conditioner  to High Efficiency Central Air Conditioner : 1 by 2035
residential air conditioning,us,,High Efficiency Room Air Conditioner,Reference Room Air Conditioner,intensity,logistic,nearest,,Reference Room Air Conditioner to High Efficiency Room Air Conditioner : 1 by 2035
residential space heating,us,,High Efficiency Air Source Heat Pump - Heating,Reference Kerosene Furnace,intensity,logistic,nearest,,Reference Kerosene Furnace to High Efficiency Air Source Heat Pump - Heating : 0.9 by 2035
residential space heating,us,,High Efficiency Kerosene Furnace,Reference Kerosene Furnace,intensity,logistic,nearest,,Reference Kerosene Furnace to High Efficiency Kerosene Furnace : 0.1 by 2035
residential refrigeration,us,,High Efficiency Top Mount Refrigerator,Reference Top Mount Refrigerator,intensity,logistic,nearest,,Reference Top Mount Refrigerator to High Efficiency Top Mount Refrigerator : 1 by 2030
light duty autos,us,,Electric Light-Duty Auto - 200 mile range,,intensity,logistic,nearest,,All Techs to Electric Light-Duty Auto  : 0.8 by 2035
light duty autos,us,,PHEV - 50 mile range - Light Duty Auto,,intensity,logistic,nearest,,All Techs to PHEV - 80 mile range - Light Duty Auto : 0.2 by 2035
light duty autos,us,,Hydrogen Fuel-Cell Light-Duty Auto,,intensity,logistic,nearest,,All Techs to Hydrogen Fuel-Cell Light-Duty Auto : 0.8 by 2035
light duty autos,us,,Electric Light-Duty Auto - 200 mile range,,intensity,logistic,nearest,,All Techs to Electric Light-Duty Auto  : 0.2 by 2035
light duty autos,us,,Hydrogen Fuel-Cell Light-Duty Auto,,intensity,logistic,nearest,,All Techs to Hydrogen Fuel-Cell Light-Duty Auto : 0.5 by 2035
light duty autos,us,,Electric Light-Duty Auto - 200 mile range,,intensity,logistic,nearest,,All Techs to Electric Light-Duty Auto  : 0.5 by 2035
light duty autos,us,,Electric Light-Duty Auto - 200 mile range,,intensity,logistic,nearest,,All Techs to Electric Light-Duty Auto  : 0.8 by 2035
light duty autos,us,,Hydrogen Fuel-Cell Light-Duty Auto,,intensity,logistic,nearest,,All Techs to Hydrogen Fuel-Cell Light-Duty Auto : 0.2 by 2035
light duty trucks,us,,Electric Light-Duty Truck - 200 mile range,,intensity,logistic,nearest,,All Techs to Electric Light-Duty Truck : 0.8 by 2035
light duty trucks,us,,PHEV - Gasoline - 50 mile range - Light Duty Truck,,intensity,logistic,nearest,,All Techs to PHEV - Gasoline -  80 mile range  - Light Duty Truck : 0.2 by 2035
light duty trucks,us,,Hydrogen Fuel-Cell Light-Duty Truck,,intensity,logistic,nearest,,All Techs to Hydrogen Fuel-Cell Light-Duty Truck : 0.8 by 2035
light duty trucks,us,,Electric Light-Duty Truck - 200 mile range,,intensity,logistic,nearest,,All Techs to Electric Light-Duty Truck : 0.2 by 2035
light duty trucks,us,,Hydrogen Fuel-Cell Light-Duty Truck,,intensity,logistic,nearest,,All Techs to Hydrogen Fuel-Cell Light-Duty Truck : 0.5 by 2035
light duty trucks,us,,Electric Light-Duty Truck - 200 mile range,,intensity,logistic,nearest,,All Techs to Electric Light-Duty Truck : 0.5 by 2035
light duty trucks,us,,Electric Light-Duty Truck - 200 mile range,,intensity,logistic,nearest,,All Techs to Electric Light-Duty Truck : 0.8 by 2035
light duty trucks,us,,Hydrogen Fuel-Cell Light-Duty Truck,,intensity,logistic,nearest,,All Techs to Hydrogen Fuel-Cell Light-Duty Truck : 0.2 by 2035
medium duty trucks,us,,Battery Electric Medium-Duty Vehicle,,intensity,logistic,nearest,,All Techs to Battery Electric Medium-Duty Vehicle : 0.5 by 2035
medium duty trucks,us,,Hybrid CNG Medium-Duty Vehicle,Reference Medium-Duty Gasoline Vehicle,intensity,logistic,nearest,,Reference Medium-Duty Gasoline Vehicle to Hybrid CNG Medium-Duty Vehicle : 0.5 by 2035
medium duty trucks,us,,Hybrid CNG Medium-Duty Vehicle,Reference Medium-Duty CNG Vehicle,intensity,logistic,nearest,,Reference Medium-Duty CNG Vehicle to Hybrid CNG Medium-Duty Vehicle : 0.5 by 2035
medium duty trucks,us,,Hybrid CNG Medium-Duty Vehicle,Reference Medium - Duty Diesel Vehicle,intensity,logistic,nearest,,Reference Medium - Duty Diesel Vehicle to Hybrid CNG Medium-Duty Vehicle : 0.5 by 2035
medium duty trucks,us,,Hydrogen Fuel Cell Medium-Duty Vehicle,,intensity,logistic,nearest,,All Techs to Hydrogen Fuel Cell Medium-Duty Vehicle : 0.8 by 2035
medium duty trucks,us,,Battery Electric Medium-Duty Vehicle,,intensity,logistic,nearest,,All Techs to Battery Electric Medium-Duty Vehicle : 0.2 by 2035
medium duty trucks,us,,Hydrogen Fuel Cell Medium-Duty Vehicle,,intensity,logistic,nearest,,All Techs to Hydrogen Fuel Cell Medium-Duty Vehicle : 0.5 by 2035
medium duty trucks,us,,Battery Electric Medium-Duty Vehicle,,intensity,logistic,nearest,,All Techs to Battery Electric Medium-Duty Vehicle : 0.5 by 2035
medium duty trucks,us,,Battery Electric Medium-Duty Vehicle,,intensity,logistic,nearest,,All Techs to Battery Electric Medium-Duty Vehicle : 0.8 by 2035
medium duty trucks,us,,Hydrogen Fuel Cell Medium-Duty Vehicle,,intensity,logistic,nearest,,All Techs to Hydrogen Fuel Cell Medium-Duty Vehicle : 0.2 by 2035
heavy duty trucks,us,,LNG Hybrid Heavy-Duty Vehicle,,intensity,logistic,nearest,,All Techs to LNG Hybrid Heavy-Duty Vehicle : 0.75 by 2035
heavy duty trucks,us,,Diesel Hybrid Heavy-Duty Vehicle,,intensity,logistic,nearest,,All Techs to Diesel Hybrid Heavy-Duty Vehicle : 0.25 by 2035
heavy duty trucks,us,,Diesel Hybrid Heavy-Duty Vehicle,,intensity,logistic,nearest,,All Techs to Diesel Hybrid Heavy-Duty Vehicle : 0.75 by 2035
heavy duty trucks,us,,Hydrogen FCV Heavy-Duty Vehicle,,intensity,logistic,nearest,,All Techs to Hydrogen FCV Heavy-Duty Vehicle : 0.25 by 2035
heavy duty trucks,us,,Diesel Hybrid Heavy-Duty Vehicle,,intensity,logistic,nearest,,All Techs to Diesel Hybrid Heavy-Duty Vehicle : 0.375 by 2035
heavy duty trucks,us,,LNG Hybrid Heavy-Duty Vehicle,,intensity,logistic,nearest,,All Techs to LNG Hybrid Heavy-Duty Vehicle : 0.375 by 2035
heavy duty trucks,us,,Hydrogen FCV Heavy-Duty Vehicle,,intensity,logistic,nearest,,All Techs to Hydrogen FCV Heavy-Duty Vehicle : 0.25 by 2035
heavy duty trucks,us,,Diesel Hybrid Heavy-Duty Vehicle,,intensity,logistic,nearest,,All Techs to Diesel Hybrid Heavy-Duty Vehicle : 0.75 by 2035
heavy duty trucks,us,,Hydrogen FCV Heavy-Duty Vehicle,,intensity,logistic,nearest,,All Techs to Hydrogen FCV Heavy-Duty Vehicle : 0.25 by 2035
residential lighting,us,,CFL GSL,Incandescent GSL,intensity,linear_interpolation,nearest,,Incandescent GSL to CFL GSL : 1 by 2020
residential lighting,us,,CFL Reflector,Incandescent Reflector,intensity,linear_interpolation,nearest,,Incandescent Reflector to CFL Reflector : 1 by 2020
residential lighting,us,,T-8 Linear Fluorescent,T-12 Linear Fluorescent,intensity,linear_interpolation,nearest,,T-12 Linear Fluorescent to T-8 Linear Fluorescent : 1 by 2014
residential lighting,us,,CFL Exterior,Incandescent Exterior,intensity,linear_interpolation,nearest,,Incandescent Exterior to CFL Exterior : 1 by 2018
light duty autos,us,,Autonomous Electric Light-Duty Auto,,intensity,logistic,nearest,,All Techs to Autonomous Electric Light-Duty Auto : 0.925 by 2030
light duty autos,us,,Electric Light-Duty Auto - 200 mile range,,intensity,logistic,nearest,,All Techs to Electric Light-Duty Auto  : 0.0375 by 2035
light duty trucks,us,,Autonomous Electric Light-Duty Truck,,intensity,logistic,nearest,,All Techs to Autonomous Electric Light-Duty Truck : 0.925 by 2030
light duty trucks,us,,Electric Light-Duty Truck - 200 mile range,,intensity,logistic,nearest,,All Techs to Electric Light-Duty Truck : 0.0375 by 2035
light duty autos,us,,PHEV - 50 mile range - Light Duty Auto,,intensity,logistic,nearest,,All Techs to PHEV - 80 mile range - Light Duty Auto : 0.0375 by 2035
light duty trucks,us,,PHEV - Gasoline - 50 mile range - Light Duty Truck,,intensity,logistic,nearest,,All Techs to PHEV - Gasoline -  80 mile range  - Light Duty Truck : 0.0375 by 2035
residential space heating,us,,Reference Air Source Heat Pump - Heating,Reference Natural Gas Furnace,intensity,logistic,nearest,,Reference Natural Gas Furnace to Reference Air Source Heat Pump - Heating : 0.9 by 2035
residential building shell,state,,FORTY% Res Building Shell,Reference Res Building Shell,intensity,linear_interpolation,nearest,,Reference Res Building Shell to FORTY% Res Building Shell : 0 by 2015 to 1 by 2025
residential space heating,state,,Reference Natural Gas Furnace,Reference Distillate Furnace,intensity,linear_interpolation,nearest,,Reference Distillate Furnace to Reference Natural Gas Furnace : 0.7 by 2018
residential space heating,state,,Reference Natural Gas Boiler/Radiator,Reference Distillate Boiler/Radiator,intensity,linear_interpolation,nearest,,Reference Distillate Boiler/Radiator to Reference Natural Gas Boiler/Radiator : 0.7 by 2018
residential water heating,state,,Reference Gas Water Heater,Reference Distillate Water Heater,intensity,linear_interpolation,nearest,,Reference Distillate Water Heater to Reference Gas Water Heater : 0.7 by 2018
residential lighting,state,residential lighting category,LED GSL,,intensity,logistic,nearest,,All general service lighting to LED: .5 by 2025
residential lighting,state,residential lighting category,LED Linear Fluorescent,,intensity,logistic,nearest,,All LFL to LED Fluorescent Replacements: .5 by 2025
residential lighting,state,residential lighting category,LED Reflector,,intensity,linear_interpolation,nearest,,All Reflectors to LED : .5 by 2025
residential lighting,state,residential lighting category,LED Exterior,,intensity,linear_interpolation,nearest,,All Exterior to LED: .5 by 2025
residential space heating,state,,High Efficiency Distillate Furnace,Reference Distillate Furnace,intensity,linear_interpolation,nearest,,Reference Distillate Furnace to High Efficiency Distillate Furnace : .15 by 2016
residential space heating,state,,High Efficiency Distillate Boiler/Radiator,Reference Distillate Boiler/Radiator,intensity,linear_interpolation,nearest,,Reference Distillate Boiler/Radiator to High Efficiency Distillate Boiler/Radiator : 0.15 by 2016
residential space heating,state,,High Efficiency Natural Gas Boiler/Radiator,Reference Natural Gas Boiler/Radiator,intensity,linear_interpolation,nearest,,Reference Natural Gas Boiler/Radiator to High Efficiency Natural Gas Boiler/Radiator : 0.5 by 2016
residential space heating,state,,High Efficiency Natural Gas Furnace,Reference Natural Gas Furnace,intensity,linear_interpolation,nearest,,Reference Natural Gas Furnace to High Efficiency Natural Gas Furnace : 0.5 by 2016
residential space heating,state,,Reference Natural Gas Boiler/Radiator,Reference Distillate Boiler/Radiator,intensity,linear_interpolation,nearest,,Reference Distillate Boiler/Radiator to Reference Natural Gas Boiler/Radiator : 0.35 by 2018
residential space heating,state,,High Efficiency Natural Gas Boiler/Radiator,Reference Distillate Boiler/Radiator,intensity,linear_interpolation,nearest,,Reference Distillate Boiler/Radiator to High Efficiency Natural Gas Boiler/Radiator : 0.35 by 2018
residential space heating,state,,Reference Natural Gas Furnace,Reference Distillate Furnace,intensity,linear_interpolation,nearest,,Reference Distillate Furnace to Reference Natural Gas Furnace : .35 by 2018
residential space heating,state,,High Efficiency Natural Gas Furnace,Reference Distillate Furnace,intensity,linear_interpolation,nearest,,Reference Distillate Furnace to High Efficiency Natural Gas Furnace : .35 by 2018
residential clothes washing,state,,High Efficiency Clothes Washer - Front Loading,Reference Clothes Washer - Front Loading,intensity,linear_interpolation,nearest,,Reference Clothes Washer - Front Loading to High Efficiency Clothes Washer - Front Loading : .5 by 2016
residential clothes washing,state,,High Efficiency Clothes Washer - Top Loading,Reference Clothes Washer - Top Loading,intensity,linear_interpolation,nearest,,Reference Clothes Washer - Top Loading to High Efficiency Clothes Washer - Top Loading : .5 by 2016
residential clothes drying,state,,High Efficiency Gas Clothes Dryer,Reference Gas Clothes Dryer,intensity,linear_interpolation,nearest,,Reference Gas Clothes Dryer to High Efficiency Gas Clothes Dryer : 0.5 by 2035
residential clothes drying,state,,High Efficiency Electric Clothes Dryer,Reference Electric Clothes Dryer,intensity,linear_interpolation,nearest,,Reference Electric Clothes Dryer to High Efficiency Electric Clothes Dryer : .1 by 2016
residential dishwashing,state,,High Efficiency Dishwasher,Reference Dishwasher,intensity,linear_interpolation,nearest,,Reference Dishwasher to High Efficiency Dishwasher : .5 by 2016
residential refrigeration,state,,High Efficiency Side Mount Refrigerator,Reference Side Mount Refrigerator,intensity,linear_interpolation,nearest,,Reference Side Mount Refrigerator to High Efficiency Side Mount Refrigerator : .5 by 2016
residential refrigeration,state,,High Efficiency Top Mount Refrigerator,Reference Top Mount Refrigerator,intensity,linear_interpolation,nearest,,Reference Top Mount Refrigerator to High Efficiency Top Mount Refrigerator : .5 by 2016
residential refrigeration,state,,High Efficiency Bottom Mount Refrigerator,Reference Bottom Mount Refrigerator,intensity,linear_interpolation,nearest,,Reference Bottom Mount Refrigerator to High Efficiency Bottom Mount Refrigerator : .5 by 2016
residential freezing,state,,High Efficiency Chest Freezer,Reference Chest Freezer,intensity,linear_interpolation,nearest,,Reference Chest Freezer to High Efficiency Chest Freezer : .5 by 2016
residential freezing,state,,High Efficiency Upright Freezer,Reference Upright Freezer,intensity,linear_interpolation,nearest,,Reference Upright Freezer to High Efficiency Upright Freezer : .5 by 2016
residential air conditioning,state,,High Efficiency Central Air Conditioner,Reference Central Air Conditioner,intensity,linear_interpolation,nearest,,Reference Central Air Conditioner  to High Efficiency Central Air Conditioner : 0.5 by 2016
residential air conditioning,state,,High Efficiency Room Air Conditioner,Reference Room Air Conditioner,intensity,linear_interpolation,nearest,,Reference Room Air Conditioner to High Efficiency Room Air Conditioner : 0.5 by 2016
residential cooking,state,,High Efficiency Gas Cooktop/Stove,Reference Gas Cooktop/Stove,intensity,linear_interpolation,nearest,,Reference Gas Cooktop/Stove to High Efficiency Gas Cooktop/Stove : 0.5 by 2016
residential water heating,state,,High Efficiency Gas Water Heater,Reference Gas Water Heater,intensity,linear_interpolation,nearest,,Reference Gas Water Heater to High Efficiency Gas Water Heater : 0.5 by 2016
residential water heating,state,,High Efficiency Distillate Water Heater,Reference Distillate Water Heater,intensity,linear_interpolation,nearest,,Reference Distillate Water Heater to High Efficiency Distillate Water Heater: .15 by 2016
