supply_tech,definition,reference_tech_id,geography,currency,currency_year_id,capacity_or_energy_unit,time_unit,is_levelized,interpolation_method,extrapolation_method,extrapolation_growth,source,notes,geography_map_key
thermal biomass gasifier w/ccs,absolute,,us,EUR,2009.0,megawatt,,False,linear_interpolation,nearest,,,,
lignocellulosic anaerobic digester w/ccs,absolute,,us,EUR,2013.0,megawatt,,False,linear_interpolation,nearest,,,42% of total installed costs (digester only),
Fischer-Tropsch bio-diesel plant w/ccs,absolute,,us,USD,2007.0,US_gge,year,False,linear_interpolation,nearest,,,Includes all capital investment except indirect (assumed to be installation costs),
Fast-pyrolysis bio-diesel plant w/ccs,absolute,,us,USD,2010.0,US_gde,year,False,linear_interpolation,nearest,,,nth plant capital costs,
Hydrothermal liquefaction and hydrotreating w/ccs,absolute,,us,USD,2009.0,gigajoule,hour,False,linear_interpolation,nearest,,,based on a plant size of 214 gigajoules-diesel per hour,
Hydroprocessed Renewable Oil  Plant w/ccs,absolute,,us,USD,2011.0,jet_fuel_gallon,year,False,linear_interpolation,nearest,,,"53, 625 gallons per year of jet fuel",
Relicensed Nuclear Power Plants,relative,25.0,us,,,,,,linear_interpolation,nearest,,,,
coal steam turbine cogen power plant w/ccs,relative,51.0,,,,,,,,,,,,
petroleum coke steam turbine cogen power plant w/ccs,relative,52.0,,,,,,,,,,,,
gas combined cycle cogen power plant w/ccs,relative,53.0,,,,,,,,,,,,
gas steam turbine cogen power plant w/ccs,relative,54.0,,,,,,,,,,,,
residual oil steam turbine cogen power plant w/ccs,relative,55.0,,,,,,,,,,,,
fossil waste steam turbine cogen power plant w/ccs,relative,56.0,,,,,,,,,,,,
biomass cogen power plant w/ccs,relative,57.0,,,,,,,,,,,,
landfill gas cogen power plant w/ccs,relative,58.0,,,,,,,,,,,,
municipal solid waste cogen power plant w/ccs,relative,59.0,,,,,,,,,,,,
gas combustion turbine cogen power plant w/ccs,relative,61.0,,,,,,,,,,,,
distillate oil combustion turbine cogen power plant w/ccs,relative,62.0,,,,,,,,,,,,
coal steam turbine IPP cogen power plant w/ccs,relative,67.0,,,,,,,,,,,,
gas combined cycle IPP cogen power plant w/ccs,relative,68.0,,,,,,,,,,,,
gas combustion turbine IPP cogen power plant w/ccs,relative,69.0,,,,,,,,,,,,
gas steam turbine IPP cogen power plant w/ccs,relative,70.0,,,,,,,,,,,,
residual oil combustion turbine IPP cogen power plant w/ccs,relative,71.0,,,,,,,,,,,,
distillate oil combustion turbine IPP cogen power plant w/ccs,relative,72.0,,,,,,,,,,,,
biomass cogen IPP power plant w/ccs,relative,73.0,,,,,,,,,,,,
Wave Power Plant,absolute,,us,USD,2008.0,kilowatt,,False,linear_interpolation,nearest,,,"From ""optimistic case""  in B&V Report",
HQ hydro power plants,absolute,,us,USD,2014.0,kilowatt,,False,linear_interpolation,nearest,,,Resource cost is $4000/kW; transmission cost is $2200/kW,
Cellulosic Ethanol Plant,absolute,,us,USD,2007.0,US_gge,year,True,linear_interpolation,nearest,,,,
